edad_jefe,educa_jefe,gasto_mon,erogac_tot,ing_cor
55,11,376983.92,175081.95,532745.95
58,11,76964.72,14673.91,129410.99
62,11,173416.91,8804.34,226160.58
55,10,265221.24,36684.78,329113.32
44,10,140751.13,53804.34,206562.38
68,11,115394.55,8804.34,171053.8
55,10,211836.08,1467.39,252817.46
56,10,52621.54,4377.04,93659.93
32,10,109457.39,110739.12,202952.84
51,10,206475.53,37526.07,267482.65
44,11,141018.01,80016.39,210850.1
69,11,67856.14,61048.39,194255.6
55,9,76984.68,1475.4,178278.61
68,3,72508.64,17608.69,178220.91
27,10,89947.35,33639.33,170607.23
58,6,106054.32,9097.82,159664.72
55,8,55779.44,19565.21,158809.54
67,11,59677.25,0,157721.3
40,11,94198.73,101975.79,152387.79
58,9,97213.87,7081.96,150393.41
65,10,61546.28,0,145678.8
68,6,48172.2,73369.56,134342.11
67,8,81527.94,6163.04,127868.1
62,3,29039.94,172.13,123196.68
68,4,89197.25,3480.65,122314
57,11,98736.55,5527.17,121705.08
84,4,82295.14,11152.17,118650.69
53,6,43246.67,2459.01,116065.53
39,10,61238.9,13952.45,109448.69
65,11,49262.45,5163.93,106967.2
47,11,84667.54,28711.94,106781.09
21,9,10790.55,0,102488.03
41,8,49274.89,0,97081.92
53,11,29945.54,0,95366.9
67,4,34245.29,0,95068.78
90,4,35763.66,4255.43,94911.79
60,6,86828.43,0,93641.63
36,9,60597.9,0,91661.43
68,10,24564.48,0,91325.56
47,10,28804.95,0,89370.98
69,6,16461.07,0,88680.21
58,6,37912.31,0,86288.89
35,10,43077.01,0,84717.37
32,11,81207.22,0,83134.17
36,8,22935.66,0,82508.39
76,3,31463.25,0,82491.4
36,10,44152.26,0,82375.84
28,7,29713.64,244.56,81656.37
38,11,60549.85,2836.95,81440.19
46,10,44620.31,2163.93,81063.19
60,8,46452.07,0,80546.05
58,8,47491.14,0,74757.38
61,6,64456.48,2934.78,73976.99
55,10,82222.09,0,73770.49
50,6,39762.02,0,73211.76
78,4,34942.08,0,71744.33
43,6,50170.96,684.78,71611.82
39,10,49656.85,2788.04,71531.36
43,9,44128.15,10161.29,71271.02
62,6,58039.15,0,70903.77
54,7,32827.02,0,70652.5
31,8,33212.28,5163.93,70155.71
60,7,30860.36,0,67598.34
60,6,18916.61,17608.69,66812.42
71,4,36514.81,0,66576.94
64,3,18182.96,0,65822.97
55,10,31046.91,3196.72,64967.18
44,8,44568.53,0,64106.51
50,8,46138.45,8804.34,62633.12
39,8,23560.79,1467.39,62450.99
42,10,50923.59,4255.43,62353.06
51,8,44754.84,0,60639.31
62,4,41009.29,0,60396.54
47,7,27453.84,0,60362.36
52,6,42062.67,11612.9,58376.92
39,7,30546.16,78.68,58327.84
46,6,24537.07,244.56,57992.84
49,8,27391.4,0,57281.88
52,8,25113.84,0,56368.31
40,6,28379.08,3196.71,53458.99
59,8,42357.67,0,53155.84
75,3,19066.37,0,51554.54
55,10,28632.45,934.42,51073.75
38,8,14266.89,0,50720.44
54,3,28925.96,0,49752.83
42,10,48049.08,0,49672.11
50,9,35417.32,0,48794.21
52,6,22469.94,0,48617.89
40,6,40446.41,0,47504.01
82,3,32074.82,0,47092.18
68,3,18370.63,2983.42,46655.18
75,4,18011.86,0,44823.27
64,3,18887.22,0,44567.88
38,6,42190.57,0,44409.82
90,6,6805.25,0,43913.8
67,3,23610.53,0,42980.35
33,8,35575.04,0,42358.66
71,6,20792.53,10360.09,42153.56
74,3,31798.39,1475.4,41725.1
60,9,23069.42,0,41704.88
36,5,64181.78,10632.7,41571.33
78,1,21383.01,391.3,40236.49
25,6,12478.16,0,39263.17
53,6,46634.18,0,38364.14
39,6,49572.17,895.02,36952.54
47,6,13876.55,0,36903.12
34,6,47431.02,0,36586.94
47,6,29817.89,0,36436.28
52,4,44032.03,0,36122.25
85,4,9985.76,0,35926.21
40,6,22331.28,0,35610.2
53,6,26283.31,4402.17,33994.55
45,6,30183.47,3580.11,33303.67
39,7,21509.02,0,33281.37
57,6,28201.16,1770.49,32350.07
80,5,6399.78,0,31377.04
59,4,21620.74,0,30411.28
88,3,21047.2,0,29498.17
36,4,20355.56,0,29284.71
31,8,29263.9,0,28874.41
35,8,16738.69,0,28278.68
35,8,37718.77,0,28100.51
67,5,22260.19,0,27984.56
33,10,35607.86,0,27391.3
78,4,9004.69,0,27313.29
33,4,18980.33,6603.26,27162.08
61,1,14118.25,0,27047.42
35,8,37457.46,0,26266.28
54,3,17821.65,0,26042.95
42,4,14875.28,4500,26040.96
53,4,36720.13,733.69,24696.36
25,6,26424.45,489.13,24456.52
40,8,27425.18,0,24456.51
52,8,8283.64,0,24286.28
33,8,29813.11,0,23121.86
20,4,30436.9,7426.22,22922.91
63,3,11971.97,0,22379.26
63,6,10188.77,0,21947.75
59,1,10861.6,0,21381.98
87,1,14448.31,0,21155.35
69,4,16749.25,0,19229.5
69,10,15745.18,0,15592.07
43,4,16676.51,0,14673.91
50,8,10669.67,293.47,13226.55